Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
GRUPO MOREYRA S.A.C.,2047798574,MUJER,INDEX MUJER,27/12/2021,2475613,PRAIA BRAVA,RTW,TERCERAS,CD Villa El Salvador,RTW,0.00,2.38,,,45,,,2466,,,107.01,
GRUPO MOREYRA S.A.C.,2047798574,MUJER,INDEX MUJER,27/12/2021,2475614,PRAIA BRAVA,RTW,TERCERAS,CD Villa El Salvador,RTW,0.54,0.00,,675,,,36990,,,362.30,,
PERU PIMA SA.,2012274211,DECOHOGAR,CAMA,23/12/2021,2471178,PERUPIMA,SB,TERCERAS,CD Villa El Salvador,SB,0.49,0.00,,58,,,21711,,,28.66,,
PERU PIMA SA.,2012274211,DECOHOGAR,CAMA,23/12/2021,2471178,PERUPIMA,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,51,,,3060,,,8.84,,
PERU PIMA SA.,2012274211,DECOHOGAR,CAMA,23/12/2021,2471179,RIPLEY HOME,SB,PROPIAS,CD Villa El Salvador,SB,0.49,0.00,,75,,,19824,,,37.06,,
JAWBREAKER LIMITED S.A.C.,2060543395,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,28/12/2021,2479517,VOLCOM,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,,50,,,2479.5,,,8.67,,
JAWBREAKER LIMITED S.A.C.,2060543395,HOMBRE,MARCAS JUVENIL NACIONAL HOMBRE,28/12/2021,2479517,VOLCOM,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,96,,,8113.92,,,21.47,,
JAWBREAKER LIMITED S.A.C.,2060543395,HOMBRE,ROPA INTERIOR HOMBRE,21/12/2021,2475973,VOLCOM,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,,1890,,,76148.1,,,327.73,,
MB KNITS S.A.C,2054956185,HOMBRE,MARQUIS HOMBRE,21/12/2021,2471992,MARQUIS,FLT,PROPIAS,CD Villa El Salvador,FLT,0.22,0.00,,2711,,,28465.5,,,606.29,,
DAY OFF S.A.C.,2060087655,ELECTROHOGAR,PROMOCIONES ELECTRO,23/12/2021,2475620,RIPLEY,SB,PROPIAS,CD Villa El Salvador,SB,0.49,0.00,,2000,,,37860,,,988.26,,
PERU BRANDS S.A.C.,2052373913,ACCESORIOS,ACCESORIOS TERCERAS,22/12/2021,2478439,GUESS,SB,TERCERAS,CD Villa El Salvador,SB,0.49,0.00,,212,,,56694.78,,,104.76,,
PERU BRANDS S.A.C.,2052373913,ACCESORIOS,ACCESORIOS TERCERAS,22/12/2021,2478438,GUESS,SB,TERCERAS,CD Villa El Salvador,SB,0.00,1.58,,,78,,,20167.46,,,123.30,
D´ADRIANO SERVICE SAC.,2051637291,HOMBRE,BARBADOS HOMBRE,21/12/2021,2467217,BARBADOS,FLT,PROPIAS,CD Villa El Salvador,FLT,0.22,0.00,,420,,,8640,,,93.93,,
D´ADRIANO SERVICE SAC.,2051637291,HOMBRE,BARBADOS HOMBRE,29/12/2021,2480020,BARBADOS,FLT,PROPIAS,CD Villa El Salvador,FLT,0.00,0.93,,,1407,,,29060,,,1305.84,
